epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,6.50749,1.15468,3.24319,1.08357,0.00794,0.22028,0.09484,0.06782,1.08127,3.27255,1.0089,0.0001667,0.0001667,0.0001667
2,12.6438,1.05098,1.95663,0.98344,0.02606,0.79953,0.35713,0.2185,1.05806,2.97247,0.95951,0.000348915,0.000348915,0.000348915
3,18.8713,1.03372,1.32356,0.97153,0.02503,0.80186,0.37261,0.24189,1.01859,2.87382,0.96162,0.000529919,0.000529919,0.000529919
4,25.0766,1.00958,1.30501,0.97693,0.02543,0.80536,0.39979,0.28478,0.96742,2.79857,0.94173,0.000709714,0.000709714,0.000709714
5,31.2789,0.99732,1.25117,0.95076,1,0.08183,0.4761,0.33203,1.02947,2.50704,0.98687,0.000888298,0.000888298,0.000888298
6,37.5425,0.92669,1.15168,0.94241,0.99665,0.1729,0.51977,0.37715,0.97468,2.24457,0.98966,0.00106567,0.00106567,0.00106567
7,43.8662,0.93338,1.07329,0.94692,0.98943,0.37781,0.53396,0.39432,0.93146,1.95694,0.97234,0.00124183,0.00124183,0.00124183
8,50.4903,0.98821,1.13193,0.94766,0.98978,0.33501,0.57474,0.42528,0.90648,2.01135,0.95026,0.00141679,0.00141679,0.00141679
9,56.8147,0.97265,1.02248,0.94707,0.96221,0.52865,0.62185,0.4582,0.96742,1.4244,0.99803,0.00159053,0.00159053,0.00159053
10,63.0951,0.95879,0.98385,0.94506,0.64276,0.5979,0.57197,0.42607,0.97465,1.29258,0.99967,0.00161749,0.00161749,0.00161749
11,68.9812,0.90952,0.96164,0.93871,0.8544,0.72663,0.78371,0.56445,0.99689,1.19892,1.0251,0.00161199,0.00161199,0.00161199
12,74.9997,0.95532,0.98289,0.95517,0.9507,0.75566,0.82402,0.61799,0.91677,0.99215,0.99158,0.00160649,0.00160649,0.00160649
13,81.1139,0.97838,0.95348,0.96397,0.92832,0.81897,0.91649,0.67682,0.92632,0.93,1.01688,0.00160099,0.00160099,0.00160099
14,87.1556,0.94396,0.92022,0.94938,0.82138,0.81526,0.88134,0.65892,0.90634,0.91379,0.98658,0.00159549,0.00159549,0.00159549
15,92.9776,0.94154,0.85908,0.92544,0.94569,0.87179,0.95455,0.69315,0.96459,0.7979,0.98663,0.00158998,0.00158998,0.00158998
16,99.0377,0.94016,0.86852,0.94475,0.92723,0.83333,0.91523,0.67148,0.91692,0.76727,0.97496,0.00158448,0.00158448,0.00158448
17,104.939,0.9035,0.82596,0.92725,0.79749,0.91608,0.9018,0.67185,0.84304,0.73491,0.96204,0.00157898,0.00157898,0.00157898
18,110.806,0.88076,0.8409,0.92571,0.91137,0.85897,0.91588,0.66402,0.91529,0.76103,1.00105,0.00157348,0.00157348,0.00157348
19,116.675,0.87327,0.82189,0.92406,0.90326,0.83333,0.89262,0.66286,0.89222,0.73521,0.98857,0.00156798,0.00156798,0.00156798
20,122.584,0.92508,0.78944,0.93497,0.98178,0.94755,0.9813,0.71078,0.91559,0.65568,0.98511,0.00156248,0.00156248,0.00156248
21,128.659,0.93972,0.78617,0.93481,0.97074,0.95526,0.98537,0.71745,0.89665,0.6424,0.97833,0.00155698,0.00155698,0.00155698
22,134.684,0.89915,0.73581,0.92111,0.9536,0.94198,0.97155,0.72152,0.89729,0.64395,0.97807,0.00155148,0.00155148,0.00155148
23,140.587,0.9058,0.75085,0.9463,0.93128,0.90226,0.94702,0.6945,0.89904,0.64884,0.98307,0.00154598,0.00154598,0.00154598
24,146.587,0.9203,0.74818,0.92977,0.98022,0.94207,0.97713,0.71954,0.88059,0.60888,0.97383,0.00154047,0.00154047,0.00154047
25,152.458,0.8867,0.70436,0.92138,0.99767,0.98497,0.99341,0.74077,0.87688,0.57472,0.96707,0.00153497,0.00153497,0.00153497
26,158.438,0.86119,0.68158,0.91563,0.98669,0.987,0.99304,0.73476,0.88169,0.56279,0.97961,0.00152947,0.00152947,0.00152947
27,164.559,0.8585,0.67145,0.90785,0.98782,0.98601,0.99273,0.7501,0.84032,0.54143,0.96319,0.00152397,0.00152397,0.00152397
28,170.779,0.9053,0.66188,0.91263,0.99422,0.98589,0.99207,0.74961,0.85635,0.53656,0.96181,0.00151847,0.00151847,0.00151847
29,176.594,0.8552,0.65094,0.91086,0.99624,0.98661,0.99424,0.73495,0.85644,0.53757,0.96315,0.00151297,0.00151297,0.00151297
30,182.35,0.88013,0.67127,0.93075,0.98062,0.98539,0.99276,0.74354,0.82974,0.53332,0.95359,0.00150747,0.00150747,0.00150747
31,188.082,0.90812,0.71394,0.92205,0.99652,0.99686,0.99486,0.74059,0.8814,0.52419,0.98011,0.00150197,0.00150197,0.00150197
32,194.068,0.8531,0.65321,0.92169,0.99097,0.99883,0.99499,0.7243,0.89886,0.55321,0.99276,0.00149647,0.00149647,0.00149647
33,199.915,0.85821,0.65327,0.92288,0.97874,0.99866,0.99128,0.75822,0.82205,0.49183,0.94891,0.00149096,0.00149096,0.00149096
34,206.023,0.84127,0.63353,0.90779,0.9843,0.98567,0.99316,0.7368,0.90961,0.51867,0.99107,0.00148546,0.00148546,0.00148546
35,211.929,0.85286,0.60862,0.91741,0.96081,0.99595,0.98965,0.74088,0.87697,0.5071,0.97299,0.00147996,0.00147996,0.00147996
36,217.684,0.83361,0.61937,0.91108,0.95924,0.99922,0.99387,0.74206,0.83673,0.47891,0.95181,0.00147446,0.00147446,0.00147446
37,223.461,0.8545,0.62013,0.91579,0.98446,1,0.98988,0.73539,0.85476,0.48517,0.96311,0.00146896,0.00146896,0.00146896
38,229.212,0.79538,0.57807,0.88877,0.98317,1,0.99087,0.72381,0.89503,0.48033,0.98286,0.00146346,0.00146346,0.00146346
39,234.938,0.89764,0.62998,0.92208,0.96543,0.94872,0.97698,0.71987,0.86025,0.52919,0.96869,0.00145796,0.00145796,0.00145796
40,240.865,0.88444,0.61644,0.91636,0.95951,0.94872,0.97027,0.70895,0.87395,0.51403,0.96955,0.00145246,0.00145246,0.00145246
41,246.816,0.83112,0.60185,0.89957,0.97763,0.97436,0.98632,0.73815,0.84532,0.48326,0.95671,0.00144696,0.00144696,0.00144696
42,252.686,0.78629,0.57557,0.89788,0.99651,0.96915,0.99003,0.74373,0.84247,0.47152,0.95218,0.00144145,0.00144145,0.00144145
